Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32
44,25,68.8246902924025,82.3783895815798,63.058440506594,33.3402067452969,30.2133392762277,30.0628316284842,30.0541978443628,30.0517822700509,30.0503691098847,30.0493447523452,30.0478459163971,30.0451992420064,30.0414135390322,30.0371073056219,30.0326855527301,30.0282391843452,30.023778757261,30.0193012482125,30.0148065151719,30.0102860310795,30.0057395704043,30.0011644002386,29.9965568875945,29.9919126269187,29.9872271922308,29.9824975994111,29.9777155138805,29.9728478047817,29.9683750653545,29.9571468866135,29.9571468866135
45,25,68.4037646973725,82.6611339349213,65.4470521020262,33.9680594206955,30.2452681863069,30.0642915890469,30.0543761580147,30.0519059518658,30.050486987233,30.0494671433896,30.0479861813801,30.0453719447366,30.0416124864853,30.0373220959538,30.0329158400319,30.0284874136939,30.0240474918068,30.0195934178251,30.0151254210174,30.0106355024452,30.006123931225,30.0015888749236,29.9970268071871,29.9924347875245,29.9878092147686,29.9831478999782,29.9784449240701,29.9736651917635,29.9692922726823,29.9582638913779,29.9582638913779
46,25,67.977454689175,82.9219157473466,67.7506868250101,34.7010147285858,30.2835082841345,30.066006051269,30.054542077226,30.0520055550607,30.0505800556672,30.0495635397548,30.0480986941811,30.0455139956935,30.0417794061569,30.0375026662393,30.0331089133593,30.0286949995037,30.0242716458837,30.0198364742329,30.0153899891324,30.0109246938781,30.0064411233755,30.0019379980126,29.9974125697419,29.9928623549326,29.9882847101546,29.9836778845422,29.9790385353855,29.9743282332188,29.970034211092,29.9591772539237,29.9591772539237
47,25,67.5440013605939,83.1608639828881,69.9673764491834,35.5413123641301,30.3291339248439,30.0680366529519,30.0547042684257,30.0520880726611,30.0506547658703,30.0496405226108,30.0481902771114,30.0456334526612,30.0419220761534,30.0376569869796,30.0332732687289,30.0288710436807,30.0244610273443,30.0200410801887,30.0156119489995,30.0111664359886,30.0067053272394,30.0022278237151,29.997731715041,29.9932149436448,29.988675514939,29.984112294355,29.9795232137366,29.9748685002573,29.9706368321782,29.9599283270761,29.9599283270761
48,25,67.1030186777433,83.3711246181322,72.0979469417691,36.4941686396368,30.3833493705233,30.0704538128571,30.0548707154141,30.0521587694017,30.0507163730076,30.0497034919084,30.0482664984482,30.0457360538168,30.0420465859609,30.037791524977,30.0334158207331,30.0290229464238,30.0246236636408,30.020215947021,30.0158007021291,30.0113708638906,30.006927867766,30.0024707309749,29.997998119878,29.9935080424203,29.9889996147522,29.9844707892473,29.9799218259695,29.9753110659954,29.9711282228128,29.9605498880235,29.9605498880235
49,25,66.656202266613,83.5450725813201,74.1263146752574,37.5802916777357,30.4477671018058,30.0733441738672,30.0550523471312,30.0522251925759,30.0507731102959,30.0497596885983,30.0483346197919,30.0458291089615,30.0421603166154,30.0379138137039,30.0335442651551,30.0291586915533,30.0247681887944,30.0203697453624,30.015965583821,30.0115481738497,30.0071194791087,30.0026783742884,29.9982244454336,29.9937553285185,29.9892709906242,29.9847697508436,29.9802526119347,29.9756763399777,29.9715315277813,29.9610682396734,29.9610682396734
50,25,66.206344228206,83.6786370638758,76.0102375004299,38.8415871852541,30.5248120043415,30.0768146190936,30.0552590081035,30.0522979600015,30.0508509080831,30.0498149611062,30.0483999899366,30.0459182269345,30.0422689950969,30.0380297189054,30.0336646438746,30.0292845210699,30.0249003041871,30.0205092796078,30.0161134481067,30.0117057351928,30.0072880811088,30.0028594971814,29.9984198766238,29.9939674575831,29.9895018881563,29.9850222359374,29.9805301295212,29.9759806125705,29.9718650376887,29.9615043812428,29.9615043812428
51,25,65.7561191407136,83.7721599645311,77.7104983203122,40.3122091676366,30.617584790692,30.0809969364747,30.0554997580789,30.0523715281965,30.0509064832102,30.049872891043,30.048466851502,30.0460074529862,30.0423766891329,30.0381434053523,30.0337812891231,30.0294049644471,30.0250253031942,30.0206397831277,30.0162499744574,30.0118494846947,30.0074400521877,30.0030210075967,29.998592345801,29.9941525962034,29.9897014870077,29.9852384955112,29.9807658363835,29.9762367480027,29.9721432442827,29.9618749692008,29.9618749692008
52,25,65.3076240029407,83.8288859340034,79.2148242520967,41.9954466485081,30.7293586121333,30.0860461324571,30.0557814029563,30.0524506220472,30.0509671329979,30.0499344571093,30.0485363180354,30.046098040938,30.0424848819484,30.0382566282739,30.0338961830279,30.0295222279454,30.0251455688485,30.0207640525352,30.0163782832553,30.0119829679895,30.0075794894964,30.0031674604359,29.9987469442401,29.9943166482021,29.9898764971706,29.9854261681233,29.9809684133781,29.976454650306,29.9723774406214,29.9621931108747,29.9621931108747
53,25,64.8623978499419,83.8532625635865,80.5306204011179,43.8740132861384,30.8634152380713,30.092141857889,30.0561089054274,30.0525344820446,30.0510308519392,30.0499977054046,30.0486066966689,30.0461886048407,30.04259244867,30.0383685312099,30.034008788393,30.029636141012,30.0252613387066,30.020882343916,30.0164993901739,30.0121076774709,30.0077084114458,30.0033014406178,29.998886870665,29.9944635587078,29.9900315853379,29.9855907825234,29.9811443766928,29.9766419337317,29.9725764746655,29.9624692367717,29.9624692367717
