Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42
66,0.85,0.860918067297756,0.87078324652296,0.872655364689781,0.878248033859069,0.915762681365638,0.994960901245972,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,0.85,0.86058663028607,0.870811894742124,0.872633038280167,0.877512299732909,0.910048481853513,0.99311462535775,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999858042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,0.85,0.860260191765284,0.870821528097209,0.872612166039551,0.876895397330464,0.904993885252381,0.990742445583288,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999987399,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,0.85,0.859940506112562,0.870813921574262,0.872590249564357,0.876377409153956,0.900558820604845,0.987722593454875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99999999996906,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,0.85,0.859629514153943,0.870790566841946,0.872566052122487,0.875940989493133,0.896699313001419,0.983919682482943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999914046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,0.85,0.85932941250529,0.870752546542489,0.87253952970576,0.875570269044845,0.893362540004501,0.979192889092244,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999978911108,1,1,1,1
72,0.85,0.85904262635623,0.870700430231797,0.872511927956277,0.875249843021349,0.890491376851982,0.973406100545352,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,0.85,0.858771730780324,0.870634063907614,0.872486224997798,0.874964753614473,0.88802761549518,0.966436925932057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,0.85,0.858519412352627,0.870551954676341,0.872468456973737,0.87470517121804,0.885913842851949,0.958216262466183,1,1,1,1,1,1,1,1,1,1,0.999999998564605,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,0.85,0.858288470453151,0.870450921509991,0.872468653705791,0.874471445738307,0.884102847232958,0.949776862837765,0.998669754910457,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999880851,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999997296774,0.999999997296774
76,0.85,0.858080759495666,0.870327139163441,0.872496026216633,0.874267727374523,0.882544232515627,0.940675918709007,0.998362069841563,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999994672,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999995328,0.999999999995328
77,0.85,0.857895995793404,0.870182613762914,0.872546530839102,0.874097266142807,0.881201526201635,0.931876367231083,0.997683896582771,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999990158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999995401,0.999999999995401
78,0.85,0.857730240421657,0.870025077954631,0.872600891732714,0.873959106120993,0.880056632027608,0.924304297403871,0.996698281978585,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999993436,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999996493,0.999999999996493
79,0.85,0.857579476415935,0.869860584946374,0.872646796222944,0.873848110911216,0.879083173617447,0.91767399510774,0.995378448831024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999983325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999991133,0.999999999991133
80,0.85,0.857440818217822,0.869692420267035,0.872681468134135,0.873758353406765,0.878256205057823,0.911780144600551,0.993660863137938,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0.85,0.857311959395692,0.869522879529253,0.872705202810525,0.87368477943078,0.877554083523014,0.906544225535071,0.991449537098543,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999912157,0.999999999912157
82,0.85,0.857190895132847,0.869353874343414,0.872718948036996,0.873623394443013,0.876958275325516,0.901927787396624,0.988626872858091,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,0.85,0.85707585609689,0.86918699699998,0.872723834847768,0.873571131226569,0.876452952924812,0.897891706459998,0.985060448052725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999975112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999738368,1,1
84,0.85,0.856965293931936,0.86902356049102,0.872721079696934,0.87352564970677,0.876024490038995,0.894387792029464,0.98060947629291,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,0.85,0.85685788488625,0.868864588226713,0.872711974644595,0.873485261119096,0.875661343387243,0.891362137333684,0.97513430408874,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,0.85,0.856752506033346,0.868710838806682,0.872697807628616,0.873448773175496,0.875353640142168,0.888758848113679,0.968504892744894,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,0.85,0.856648202070755,0.868562738290029,0.872679707890235,0.873415352875783,0.875092934040773,0.886523692500141,0.960623094242159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99999997525372,1,1,1,1
